user_id,game_name,job,launch_date,created_at,server_id,server_open_date,persona,vip_level,join_date
202265193093939,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202269246322440,Cửu Long Tranh Bá,Kỹ sư,2024-05-01,2024-03-14,S1,2024-05-01,DOLPHIN,7,2024-05-01
202269164049966,Cửu Long Tranh Bá,Giao hàng (Shipper),2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202268545008883,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,HOPPER,5,2024-05-01
202260057710751,Cửu Long Tranh Bá,Lập trình viên,2024-05-01,2024-03-14,S1,2024-05-01,HOPPER,3,2024-05-01
202266296699062,Cửu Long Tranh Bá,Freelancer,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202265245955570,Cửu Long Tranh Bá,Kinh doanh tự do,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202263203297763,Cửu Long Tranh Bá,Đầu bếp,2024-05-01,2024-03-14,S1,2024-05-01,MINNOW,1,2024-05-01
202269095152830,Cửu Long Tranh Bá,Thiết kế đồ họa,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202260095966984,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202265307342926,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,WHALE,11,2024-05-01
202265797306277,Cửu Long Tranh Bá,Kinh doanh tự do,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202264439199626,Cửu Long Tranh Bá,Kế toán,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202265551869808,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202262236839285,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202261146984339,Cửu Long Tranh Bá,Kiến trúc sư,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202263491994915,Cửu Long Tranh Bá,Thiết kế đồ họa,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202267675192936,Cửu Long Tranh Bá,Môi giới BĐS,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202263630770281,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,MINNOW,1,2024-05-01
202265571722862,Cửu Long Tranh Bá,Kỹ sư,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202268373020484,Cửu Long Tranh Bá,Nhân viên bán hàng,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202269043045324,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202265873121295,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202261046861736,Cửu Long Tranh Bá,Luật sư,2024-05-01,2024-03-14,S1,2024-05-01,DOLPHIN,6,2024-05-01
202260921062676,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202264961288632,Cửu Long Tranh Bá,Freelancer,2024-05-01,2024-03-14,S1,2024-05-01,HOPPER,4,2024-05-01
202269153354573,Cửu Long Tranh Bá,Luật sư,2024-05-01,2024-03-14,S1,2024-05-01,MINNOW,2,2024-05-01
202269165739558,Cửu Long Tranh Bá,Kỹ sư,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202269109646145,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202269338455268,Cửu Long Tranh Bá,Nhân viên văn phòng,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202268292788802,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202266285794942,Cửu Long Tranh Bá,Kỹ sư,2024-05-01,2024-03-14,S1,2024-05-01,MINNOW,1,2024-05-01
202264848392328,Cửu Long Tranh Bá,Freelancer,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202269067762683,Cửu Long Tranh Bá,Marketing,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
202269617546617,Cửu Long Tranh Bá,Giáo viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01
