user_id,game_name,job,launch_date,created_at,server_id,server_open_date,persona,vip_level,join_date,ingame_name
202265193093939,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,[Huyen]
202269246322440,Cửu Long Tranh Bá,Kỹ sư,2024-05-01,2024-03-14,S1,2024-05-01,DOLPHIN,7,2024-05-01,-Hđl-
202269164049966,Cửu Long Tranh Bá,Giao hàng (Shipper),2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,TiêuTvk
202268545008883,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,HOPPER,5,2024-05-01,Ntthinh684
202260057710751,Cửu Long Tranh Bá,Lập trình viên,2024-05-01,2024-03-14,S1,2024-05-01,HOPPER,3,2024-05-01,xNguyenchx
202266296699062,Cửu Long Tranh Bá,Freelancer,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,Đao810
202265245955570,Cửu Long Tranh Bá,Kinh doanh tự do,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,NeoKhb
202263203297763,Cửu Long Tranh Bá,Đầu bếp,2024-05-01,2024-03-14,S1,2024-05-01,MINNOW,1,2024-05-01,KingSy
202269095152830,Cửu Long Tranh Bá,Thiết kế đồ họa,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,[Diem]
202260095966984,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,_Ntl_
202265307342926,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,WHALE,11,2024-05-01,LăngNhđ
202265797306277,Cửu Long Tranh Bá,Kinh doanh tự do,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,AlphaHien
202264439199626,Cửu Long Tranh Bá,Kế toán,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,PhượngLenoi
202265551869808,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,AcePhkkim
202262236839285,Cửu Long Tranh Bá,Sinh viên,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,TuyếtNtđ
202261146984339,Cửu Long Tranh Bá,Kiến trúc sư,2024-05-01,2024-03-14,S1,2024-05-01,F2P,0,2024-05-01,Pro.Ntb
